"","State","Time_Period","Zone.Min","Zone.Max","Zone"
"1","NY","CurrentConditions",3,7,"3 - 7"
"2","CT","CurrentConditions",5,7,"5 - 7"
"3","RI","CurrentConditions",6,7,"6 - 7"
"4","MA","CurrentConditions",4,7,"4 - 7"
"5","NH","CurrentConditions",3,6,"3 - 6"
"6","VT","CurrentConditions",3,5,"3 - 5"
"7","ME","CurrentConditions",3,6,"3 - 6"
"8","OH","CurrentConditions",5,7,"5 - 7"
"9","WV","CurrentConditions",4,7,"4 - 7"
"10","VA","CurrentConditions",5,8,"5 - 8"
"11","MD","CurrentConditions",5,7,"5 - 7"
"12","NJ","CurrentConditions",6,8,"6 - 8"
"13","DE","CurrentConditions",6,7,"6 - 7"
"14","PA","CurrentConditions",5,7,"5 - 7"
"15","NC","CurrentConditions",6,8,"6 - 8"
"16","KY","CurrentConditions",6,7,"6 - 7"
"17","NY","FutureWorst",6,9,"6 - 9"
"18","CT","FutureWorst",7,8,"7 - 8"
"19","RI","FutureWorst",7,8,"7 - 8"
"20","MA","FutureWorst",7,8,"7 - 8"
"21","NH","FutureWorst",5,7,"5 - 7"
"22","VT","FutureWorst",6,7,"6 - 7"
"23","ME","FutureWorst",5,7,"5 - 7"
"24","OH","FutureWorst",7,8,"7 - 8"
"25","WV","FutureWorst",6,8,"6 - 8"
"26","VA","FutureWorst",7,9,"7 - 9"
"27","MD","FutureWorst",7,9,"7 - 9"
"28","NJ","FutureWorst",7,9,"7 - 9"
"29","DE","FutureWorst",8,8,"8 - 8"
"30","PA","FutureWorst",7,8,"7 - 8"
"31","NC","FutureWorst",7,9,"7 - 9"
"32","KY","FutureWorst",7,8,"7 - 8"
"33","NY","FutureBest",4,8,"4 - 8"
"34","CT","FutureBest",6,7,"6 - 7"
"35","RI","FutureBest",7,7,"7 - 7"
"36","MA","FutureBest",6,7,"6 - 7"
"37","NH","FutureBest",4,6,"4 - 6"
"38","VT","FutureBest",4,6,"4 - 6"
"39","ME","FutureBest",4,6,"4 - 6"
"40","OH","FutureBest",6,7,"6 - 7"
"41","WV","FutureBest",6,7,"6 - 7"
"42","VA","FutureBest",7,9,"7 - 9"
"43","MD","FutureBest",6,8,"6 - 8"
"44","NJ","FutureBest",6,8,"6 - 8"
"45","DE","FutureBest",7,8,"7 - 8"
"46","PA","FutureBest",6,8,"6 - 8"
"47","NC","FutureBest",7,9,"7 - 9"
"48","KY","FutureBest",7,7,"7 - 7"
